Time,Red,Green,Blue
0,0,0,0
0.5,0.245828947,-0.011721787,0.005245659
1,0.306469647,-0.01486595,0.000507845
1.5,0.349664003,-0.023843879,-0.01008826
2,0.381420848,-0.018211789,-0.000312401
2.5,0.398807508,-0.009677471,-0.010622613
3,0.421197839,-5.04E-06,-0.004067795
3.5,0.426283926,-0.011855501,0.028571771
4,0.439597566,-0.011855501,0.009412149
4.5,0.440781014,-0.013097562,0.017073151
5,0.43758761,-0.015442292,0.030442229
5.5,0.433330199,-0.003166839,0.004130362
6,0.435972738,0.010624208,0.013202352
6.5,0.440018891,0.008603226,0.01809863
7,0.439494952,0.004929773,0.008636651
7.5,0.450672815,-0.005971824,-0.009307028
8,0.445092522,-0.023762094,-0.009307028
8.5,0.449324379,-0.023407193,-0.021969493
9,0.452705169,-0.026766126,-0.023921805
9.5,0.456241823,-0.015888794,-0.005410724
10,0.456007442,-0.015248505,0.00245736
10.5,0.456606707,-0.001028356,0.007610378
11,0.453530632,-0.011057381,-0.002909286
11.5,0.45341398,-0.026998563,0.014855734
12,0.461765671,-0.034541228,0.023292204
12.5,0.468857452,-0.034541228,0.041044469
13,0.469587513,-0.032054868,0.045460511
13.5,0.472607141,-0.016113686,0.014451973
14,0.476003231,-0.016113686,0.006015503
14.5,0.476291467,-0.027425692,-0.009123593
15,0.480297942,-0.012850642,-0.009123593
15.5,0.481864858,-0.023563133,-0.003956229
16,0.485575619,-0.008988083,-0.000255224
16.5,0.483179264,-0.012251126,0.00211643
17,0.474176193,-0.015948845,-0.005651698
17.5,0.480147504,0.006408167,-0.00782094
18,0.477255861,0.006408167,0.001050321
18.5,0.476025043,0.020983217,-0.014030066
19,0.482391131,0.008732031,0.007185266
19.5,0.48558973,-0.015163676,-0.002279271
20,0.482569777,-0.022836351,-0.012257703
20.5,0.476136385,-0.032925067,0.003578938
21,0.482205373,-0.007341982,-0.012547378
21.5,0.479050292,-0.005803286,-0.000978657
22,0.487614585,-0.014079517,-0.01633804
22.5,0.493404432,-0.019939706,-0.027126949
23,0.492445944,-0.048707958,-0.019275584
23.5,0.488351061,-0.048707958,-0.002722281
24,0.491704745,-0.03180428,0.005416477
24.5,0.493965197,-0.02352805,-0.004308833
25,0.493848112,-0.011241972,0.008181054
25.5,0.485645762,-0.004147148,-0.010476433
26,0.47311486,-0.019676971,-0.012990867
26.5,0.46347675,-0.015423098,-0.002910895
27,0.459026306,-0.012758637,-0.018241205
27.5,0.451254089,-0.020631664,0.001333593
28,0.43998867,-0.02173079,0.03872493
28.5,0.438634368,-0.025447164,0.104454199
29,0.436100211,-0.029245267,0.131402601
29.5,0.443021091,-0.027420343,0.169167221
30,0.445186697,-0.012794782,0.198384445
30.5,0.453830167,-0.00198735,0.213087004
31,0.453379703,0.000415134,0.257695074
31.5,0.453681889,0.020780207,0.253286283
32,0.455124431,0.023310365,0.270117966
32.5,0.456695494,0.020722419,0.277768924
33,0.451905318,0.022604668,0.294280629
33.5,0.445624648,0.00935826,0.334166247
34,0.443103716,0.014311533,0.347208598
34.5,0.434740932,0.019127482,0.359969781
35,0.4302142,0.022416389,0.338674516
35.5,0.429858042,0.030017978,0.337191898
36,0.429350849,0.030584746,0.342544433
36.5,0.428023663,0.025802869,0.346933355
37,0.428337832,0.035048766,0.393038125
37.5,0.426231582,0.047076395,0.417299103
38,0.426771887,0.03748667,0.419713872
38.5,0.427805118,0.047117339,0.426503391
39,0.44108916,0.04421314,0.443669581
39.5,0.439343447,0.053741885,0.449690777
40,0.438601941,0.062397454,0.468909301
40.5,0.438678054,0.044266642,0.493702248
41,0.441423481,0.0347749,0.493702248
41.5,0.438802224,0.015826205,0.508475557
42,0.43934974,0.025806464,0.511039803
42.5,0.442360516,0.058352355,0.510740732
43,0.432614028,0.073707997,0.515504731
43.5,0.434039276,0.083127947,0.527111632
44,0.435312896,0.092244392,0.535566637
44.5,0.436900617,0.077785533,0.537342652
45,0.436214253,0.081606099,0.544872224
45.5,0.44177118,0.0944115,0.542907071
46,0.444005094,0.092369702,0.552620928
46.5,0.440964051,0.104786763,0.562411748
47,0.443171392,0.099884812,0.549198617
47.5,0.445482683,0.099108139,0.555215654
48,0.443826897,0.092194386,0.565516289
48.5,0.451801972,0.066161028,0.575039499
49,0.455488622,0.081262073,0.579496918
49.5,0.457215573,0.086837409,0.558480427
50,0.4562612,0.101617289,0.555871428
50.5,0.452505943,0.12490815,0.550312993
51,0.449863829,0.117542006,0.558163524
51.5,0.448584288,0.117542006,0.58451164
52,0.449892636,0.116615277,0.577923921
52.5,0.439983147,0.116668073,0.585637736
53,0.441417957,0.126149018,0.578349056
53.5,0.439005318,0.123749612,0.577141962
54,0.43737065,0.102029254,0.567091647
54.5,0.437981621,0.053887864,0.572830035
55,0.442591701,0.041520232,0.589942201
55.5,0.444889609,0.035634968,0.601819099
56,0.445908025,0.057304319,0.627985895
56.5,0.447289032,0.106004718,0.611134667